date,open,high,low,close,pre_close,volume
2012-10-11,2315.897,2321.352,2300.934,2302.533,2324.117,4130065500.0
2012-10-12,2311.284,2332.149,2287.009,2304.531,2302.533,3687414500.0
2012-10-15,2306.006,2307.882,2278.457,2294.857,2304.531,2865174600.0
2012-10-16,2293.244,2315.453,2287.59,2298.162,2294.857,3205967900.0
2012-10-17,2307.358,2312.173,2280.818,2300.803,2298.162,3334940900.0
2012-10-18,2307.487,2341.12,2305.883,2336.077,2300.803,5061510000.0
2012-10-19,2335.105,2342.527,2328.733,2332.47,2336.077,3592773200.0
2012-10-22,2320.468,2347.895,2315.895,2341.592,2332.47,3436828600.0
2012-10-23,2340.89,2344.044,2309.252,2312.077,2341.592,3722127200.0
2012-10-24,2303.401,2321.43,2302.169,2307.779,2312.077,3754244500.0
2012-10-25,2306.733,2322.917,2288.601,2291.239,2307.779,4435153100.0
2012-10-26,2291.31,2293.176,2237.059,2247.907,2291.239,4090051900.0
2012-10-29,2241.802,2248.139,2227.646,2235.854,2247.907,2758132500.0
2012-10-30,2236.316,2257.951,2231.776,2239.882,2235.854,3408312500.0
2012-10-31,2241.432,2256.095,2233.684,2254.82,2239.882,3716979500.0
2012-11-01,2256.609,2305.629,2256.412,2297.884,2254.82,5076172900.0
2012-11-02,2297.898,2309.666,2284.719,2306.774,2297.884,3983328800.0
2012-11-05,2302.742,2318.231,2290.135,2301.88,2306.774,3951037200.0
2012-11-06,2301.98,2304.048,2260.507,2292.206,2301.88,3928062700.0
2012-11-07,2288.763,2300.893,2277.02,2287.505,2292.206,3306740300.0
2012-11-08,2269.582,2275.401,2245.4,2245.405,2287.505,3542647500.0
2012-11-09,2241.756,2252.196,2235.231,2240.924,2245.405,3050696800.0
2012-11-12,2242.96,2254.703,2232.742,2251.848,2240.924,3472168500.0
2012-11-13,2250.842,2250.842,2208.723,2212.44,2251.848,3408370400.0
2012-11-14,2213.086,2225.124,2205.996,2223.11,2212.44,2675879000.0
2012-11-15,2210.751,2220.987,2193.516,2193.623,2223.11,2831915100.0
2012-11-16,2189.511,2191.611,2162.976,2177.24,2193.623,3024778600.0
2012-11-19,2175.184,2176.492,2149.538,2174.985,2177.24,2697866600.0
2012-11-20,2180.205,2184.334,2163.527,2164.881,2174.985,2394891600.0
2012-11-21,2165.408,2195.461,2151.38,2194.896,2164.881,3050848200.0
2012-11-22,2181.179,2185.577,2169.657,2177.546,2194.896,2291235100.0
2012-11-23,2184.409,2202.47,2179.727,2192.676,2177.546,2866749300.0
2012-11-26,2187.24,2191.359,2172.1,2175.599,2192.676,2474269600.0
2012-11-27,2168.589,2173.464,2150.222,2150.638,2175.599,3194674600.0
2012-11-28,2142.5,2144.802,2126.03,2129.161,2150.638,3000933900.0
2012-11-29,2128.803,2140.877,2114.477,2115.676,2129.161,2967062500.0
2012-11-30,2114.244,2142.856,2109.963,2139.661,2115.676,3640691100.0
2012-12-03,2136.696,2152.608,2108.149,2108.85,2139.661,4018676200.0
2012-12-04,2104.928,2135.662,2102.135,2131.473,2108.85,3622591500.0
2012-12-05,2128.387,2219.094,2126.793,2207.878,2131.473,8248710300.0
